cluster_id,cluster_name,problem_type,representative_signals,llm_confidence
0,공정 재고 및 음수 자재 관리,공정 재고 과잉 및 음수 자재 발생에 대한 관리 및 축소 활동이 필요함,공정 | 재고 | 음수 | 축소 | 관리,0.95
1,과잉 재고 및 PO 관리 필요,소요 계획 대비 과잉 재고 및 PO 발행 상태를 점검하고 소진 계획을 수립해야 하는 문제,계획 대비 과잉 | 과잉 재고 | PO 발행 | 소요 계획 대비 과잉 PO 발행된 아이템 집중 관리 필요,0.0
2,과잉재고 대비 초과 PO 발행 검토,재고 과잉 상태임에도 불구하고 초과한 구매 주문(PO)이 발행되어 재고 관리의 불균형이 발생하고 있음,po | 과잉으로 | 조정 검토 | over 비율이 | 대비 | 과잉으로 조정 | 여전히 over,0.95
3,미소요 및 발주 과다 품목 조정,실제 소요량 대비 발주된 품목이 과다하여 재고 및 구매 효율성을 개선해야 하는 상황입니다.,po l/t 대비 | 주문 과다 | 발주 과다 | 조정 | 과다 품목,1.0
4,공정 및 음수율 관리 개선 필요,공정 과잉 및 음수 발생 자재에 대한 처리 지연 및 음수율 개선이 필요함,공정 Over율 관리는 양호 하며 음수 처리 지연일수 개선 필요함 | WIP 공정 Over율 관리는 양호 하며 음수 처리 지연일수 개선 필요함 | 공정 Over율 및 음수율 관리는 잘되고 있으나 음수 처리 지연일수 개선 | 레진류에 대한 공정 과잉 축소 운영 검토 및 음수 처리 일수개선 필요 | 음수 발생 자재에 대한 처리 일수는 양호 하나 음수율 개선 필요,0.95
5,재고 및 과잉 재고 집중 관리 필요,특정 품목 및 재고 금액에 대한 집중적인 관리가 필요함,재고 관리 | 과잉 재고 | 재고 금액 | 필요함 | 예상 | 관리 점수,0.95
6,과잉 재고 금액 집중 관리 필요,특정 품목의 과잉 재고 금액 비중이 높아 이에 대한 집중적인 재고 관리가 필요함,재고 | 과잉 | 과잉 재고 | 금액 | 재고 금액 | 금액 비중이 | 집중 관리 | 주요 Item,0.95
7,예상 재고 및 과잉 재고 집중 관리 필요,예상 재고 금액의 증가 및 과잉 재고 발생 추세에 따른 집중적인 재고 관리가 요구됨,"재고, 관리, 재고 관리, 필요, item, 점수, 과잉, 예상, 점검, 관리 점수, 과잉 재고, 집중, 대비, 및, 금액, 재고 금액, 필요함, 비중, 주요, 예상 재고",0.95
8,부품 조달 차질 예상,특정 부품의 구매 주문 부족으로 인해 생산에 차질이 예상됨,차질 | 차질 예상 | po | 부족으로 | 조달 차질 | 조달 | 예상 | shortage | 부족으로 생산,1.0
9,재고 회전율(DIO) 증가에 따른 자재 관리 강화 필요,예상되는 재고 회전율(DIO) 증가에 대응하여 자재의 적정 재고 수준을 관리해야 함,"전주대비 당월 예상 DIO 수준이 52% 이상 증가로 관리 강화 필요 | DIO 과잉 예상 Item 관리 필요 : IPM Module, Resin 등 | 과잉 재고 자재에 대한 목표 DIO 조정 및 집중 관리가 필요함",1.0
